		Hypernetwork testing function

Reading organism data at epoch: 14773
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1100101010	110100	110100	0
2	      1000100011	100100	100100	0
3	      0100000100	010001	010001	0
4	      1101001001	110000	110000	0
5	      0001101100	000101	000101	0
6	      0011100011	001100	001100	0
7	      0010110100	001111	001111	0
8	      1011100000	101100	101100	0
9	      0011100101	001101	001101	0
10	      1101001110	110001	110001	0
11	      0100001001	010000	010000	0
12	      1001110000	100110	100110	0
13	      1011111111	101111	101111	0
14	      0110010100	011011	011011	0
15	      0000110001	000110	000110	0
16	      1000000100	100001	100001	0
17	      0011011110	001011	001011	0
18	      1111011111	111011	111011	0
19	      1001110100	100111	100111	0
20	      1000010101	100011	100011	0
21	      1101111000	110110	110110	0
22	      0001010010	000010	000010	0
23	      1010101000	101100	101100	0
24	      1110000100	111001	111001	0
25	      1011011000	101010	101010	0
26	      1111001110	111001	111001	0
27	      1001001000	100000	100000	0
28	      0110100011	011100	011100	0
29	      0011011011	001010	001010	0
30	      1010001000	101000	101000	0
31	      1000010000	100010	100010	0
32	      0010000011	001000	001000	0
33	      0000000011	000000	000000	0
34	      1010000110	101001	101001	0
35	      0110111110	011111	011111	0
36	      1110001011	111000	111000	0
37	      0100100110	010101	010101	0
38	      0011011001	001010	001010	0
39	      1101110011	110110	110110	0
40	      0101110100	010111	010111	0
41	      0101100110	010101	010101	0
42	      0000110110	000111	000111	0
43	      0001001111	000001	000001	0
44	      0011101010	001100	001100	0
45	      0011000100	001001	001001	0
46	      0111111110	011111	011111	0
47	      0001000010	000000	000000	0
48	      0010111001	001110	001110	0
49	      0111011001	011010	011010	0
50	      1111001001	111000	111000	0
51	      1100001010	110000	110000	0
52	      0111110011	011110	011110	0
53	      1110001110	111001	111001	0
54	      0110001111	011001	011001	0
55	      0101100010	010100	010100	0
56	      1010110011	101110	101110	0
57	      0110110010	011110	011110	0
58	      1111100010	111100	111100	0
59	      0000101010	000100	000100	0
60	      0001011010	000010	000010	0
61	      1111100100	111101	111101	0
62	      1101110111	110111	110111	0
63	      0110100110	011101	011101	0
64	      0100011110	010011	010011	0
65	      1000100100	100101	100101	0
66	      0010111011	001110	001110	0
67	      0100100000	010100	010100	0
68	      1001100001	100100	100100	0
69	      1010100100	101101	101101	0
70	      0010101011	001100	001100	0
71	      1000111110	100111	100111	0
