		Hypernetwork testing function

Reading organism data at epoch: 29588
Training performance registered at file: 0.997318
Training performance evaluated: 0.997318
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1001000010	100000	100000	0
2	      0110101011	011100	011100	0
3	      0100000110	010001	010001	0
4	      0101010100	010011	010011	0
5	      1011001010	101000	101000	0
6	      0111011001	011010	011010	0
7	      0011110101	001111	001111	0
8	      1011111011	101110	101110	0
9	      0100000001	010000	010000	0
10	      0001101001	000100	000100	0
11	      1110111000	111110	111110	0
12	      1011110001	101110	101110	0
13	      0010110110	001111	001111	0
14	      0110000111	011001	011001	0
15	      0000001100	000001	000001	0
16	      1011011111	101011	101011	0
17	      0100010110	010011	010011	0
18	      0101011010	010010	010010	0
19	      1110000111	111001	111001	0
20	      1001100000	100100	100100	0
21	      1011001110	101001	101001	0
22	      0000000001	000000	000000	0
23	      0000001000	000000	000000	0
24	      0011011110	001011	001011	0
25	      1111000110	111001	111001	0
26	      1000101111	100101	100101	0
27	      0001111010	000110	000110	0
28	      1100101111	110101	110101	0
29	      1110010111	111011	111011	0
30	      0001011101	000011	000011	0
31	      1000001001	100000	100000	0
32	      1000011101	100011	100011	0
33	      1100110010	110110	110110	0
34	      0000110000	000110	000110	0
35	      0100001011	010000	010000	0
36	      1111001000	111000	111000	0
37	      1101011000	110010	110010	0
38	      0001100000	000100	000100	0
39	      1011110011	101110	101110	0
40	      1011100111	101101	101101	0
41	      0010011001	001010	001010	0
42	      1100110000	110110	110110	0
43	      1111101010	111100	111100	0
44	      0110010010	011010	011010	0
45	      0110111111	011111	011111	0
46	      0100010010	010010	010010	0
47	      0101001100	010001	010001	0
48	      1100100010	110100	110100	0
49	      0111110011	011110	011110	0
50	      1000110111	100111	100111	0
51	      1000010101	100011	100011	0
52	      0100111001	010110	010110	0
53	      0011101011	001100	001100	0
54	      1001111001	100110	100110	0
55	      0100001001	010000	010000	0
56	      1100100110	110101	110101	0
57	      1001111101	100111	100111	0
58	      0110101010	011100	011100	0
59	      1000000100	100001	100001	0
60	      1111100010	111100	111100	0
61	      1011010011	101010	101010	0
62	      0011100010	001100	001100	0
63	      0100110001	010110	010110	0
64	      1010010110	101011	101011	0
65	      0000000010	000000	000000	0
66	      0101110110	010111	010111	0
67	      1011110010	101110	101110	0
68	      0000110011	000110	000110	0
69	      0000010111	000011	000011	0
70	      0010101010	001100	001100	0
