		Hypernetwork testing function

Reading organism data at epoch: 2545
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1000101100	101	101	0
2	      1000001101	100	100	0
3	      0001010001	000	000	0
4	      0111000110	010	010	0
5	      0111000111	010	010	0
6	      1111001100	110	110	0
7	      0010001100	000	000	0
8	      1110110111	111	111	0
9	      1101111011	111	111	0
10	      1111001010	110	110	0
11	      0100001110	010	010	0
12	      0011001110	000	000	0
13	      0110011111	010	010	0
14	      0000010011	000	000	0
15	      1010001010	100	100	0
16	      0010101000	001	001	0
17	      0110001001	010	010	0
18	      0111011010	010	010	0
19	      0011100000	001	001	0
20	      0001101101	001	001	0
21	      1011110111	101	101	0
22	      1100001110	110	110	0
23	      0000010100	000	000	0
24	      0001100100	001	001	0
25	      0100111001	011	011	0
26	      1100011110	110	110	0
27	      1110110000	111	111	0
28	      0000101111	001	001	0
29	      1011001110	100	100	0
30	      0010001110	000	000	0
31	      0000011101	000	000	0
32	      1110101100	111	111	0
33	      1111111110	111	111	0
34	      0110010111	010	010	0
35	      1000100111	101	101	0
36	      0111000011	010	010	0
37	      0001010100	000	000	0
38	      0011110101	001	001	0
39	      1100000010	110	110	0
40	      0001101111	001	001	0
41	      1011101100	101	101	0
42	      1101000010	110	110	0
43	      0001001100	000	000	0
44	      0010101101	001	001	0
45	      0001001000	000	000	0
46	      1010011101	100	100	0
47	      1011100010	101	101	0
48	      0011110000	001	001	0
49	      1100000101	110	110	0
50	      1010101001	101	101	0
51	      1101111100	111	111	0
52	      1011011000	100	100	0
53	      1100010011	110	110	0
54	      1101010110	110	110	0
55	      0000000010	000	000	0
56	      1010111100	101	101	0
57	      1110111100	111	111	0
58	      0001111100	001	001	0
59	      1101010001	110	110	0
60	      0110011110	010	010	0
61	      1001100011	101	101	0
62	      1101110000	111	111	0
63	      1110011100	110	110	0
64	      1001001010	100	100	0
65	      0010000101	000	000	0
66	      1001110111	101	101	0
67	      0000101110	001	001	0
68	      1111111100	111	111	0
69	      0101110011	011	011	0
70	      1110110001	111	111	0
71	      1000110000	101	101	0
72	      1110011001	110	110	0
73	      0011100111	001	001	0
74	      1011001011	100	100	0
75	      1000011011	100	100	0
76	      1001001100	100	100	0
77	      1001011111	100	100	0
78	      1101111001	111	111	0
79	      0000101101	001	001	0
80	      0111011000	010	010	0
81	      1010010110	100	100	0
