		Hypernetwork testing function

Reading organism data at epoch: 2023
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1010011111	100	100	0
2	      0000101010	001	001	0
3	      0011000001	000	000	0
4	      0110111011	011	011	0
5	      1010110011	101	101	0
6	      1010110111	101	101	0
7	      1101111110	111	111	0
8	      0001110001	001	001	0
9	      0111010111	010	010	0
10	      0001010110	000	000	0
11	      0010101110	001	001	0
12	      1101100010	111	111	0
13	      0100101001	011	011	0
14	      0110101001	011	011	0
15	      1101110000	111	111	0
16	      1000100010	101	101	0
17	      1101000011	110	110	0
18	      0101100100	011	011	0
19	      1011100010	101	101	0
20	      1000101100	101	101	0
21	      1000011111	100	100	0
22	      0101010100	010	010	0
23	      0110100101	011	011	0
24	      0001101011	001	001	0
25	      1100000111	110	110	0
26	      1100010111	110	110	0
27	      1001110011	101	101	0
28	      0000000010	000	000	0
29	      0000101101	001	001	0
30	      1001011010	100	100	0
31	      1001011110	100	100	0
32	      0000011001	000	000	0
33	      0011110001	001	001	0
34	      0110001100	010	010	0
35	      1000100101	101	101	0
36	      1101010011	110	110	0
37	      1101001101	110	110	0
38	      1011110100	101	101	0
39	      0100000100	010	010	0
40	      1000001001	100	100	0
41	      1010111100	101	101	0
42	      0110010011	010	010	0
43	      1110000011	110	110	0
44	      0001101101	001	001	0
45	      1100000010	110	110	0
46	      0101111100	011	011	0
47	      1011110110	101	101	0
48	      1101111100	111	111	0
49	      0101110101	011	011	0
50	      0111010100	010	010	0
51	      1000011000	100	100	0
52	      1100011110	110	110	0
53	      1111101000	111	111	0
54	      0011011001	000	000	0
55	      1010011100	100	100	0
56	      1000001010	100	100	0
57	      0100011100	010	010	0
58	      0000010110	000	000	0
59	      1000111110	101	101	0
60	      0001100010	001	001	0
61	      1000010111	100	100	0
62	      1000101110	101	101	0
63	      0001010001	000	000	0
64	      0011011011	000	000	0
65	      1011100101	101	101	0
66	      1111010000	110	110	0
67	      1011011000	100	100	0
68	      0001001110	000	000	0
69	      0011010010	000	000	0
70	      0101110100	011	011	0
71	      0010011101	000	000	0
72	      0010011111	000	000	0
73	      0001111101	001	001	0
74	      1111001110	110	110	0
75	      0110111110	011	011	0
76	      1110111001	111	111	0
77	      0011101101	001	001	0
78	      0111100010	011	011	0
79	      1111001000	110	110	0
80	      0110011100	010	010	0
81	      1110101100	111	111	0
