		Hypernetwork testing function

Reading organism data at epoch: 7752
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0100011100	010011	010011	0
2	      0001010011	000010	000010	0
3	      1111101110	111101	111101	0
4	      0011110101	001111	001111	0
5	      0101011100	010011	010011	0
6	      0001011010	000010	000010	0
7	      0101100001	010100	010100	0
8	      0100000111	010001	010001	0
9	      1110001010	111000	111000	0
10	      1011000111	101001	101001	0
11	      0000000100	000001	000001	0
12	      0000010101	000011	000011	0
13	      0001110000	000110	000110	0
14	      1001001001	100000	100000	0
15	      1000010111	100011	100011	0
16	      1100010010	110010	110010	0
17	      0100101001	010100	010100	0
18	      1001010111	100011	100011	0
19	      1011000101	101001	101001	0
20	      0100101110	010101	010101	0
21	      1011111101	101111	101111	0
22	      0010110100	001111	001111	0
23	      0010010001	001010	001010	0
24	      1100001111	110001	110001	0
25	      1001101100	100101	100101	0
26	      1001111011	100110	100110	0
27	      0011001100	001001	001001	0
28	      0010100000	001100	001100	0
29	      1010011001	101010	101010	0
30	      1010010110	101011	101011	0
31	      0000001110	000001	000001	0
32	      0001011011	000010	000010	0
33	      1100100111	110101	110101	0
34	      0011011010	001010	001010	0
35	      0101100010	010100	010100	0
36	      1000100100	100101	100101	0
37	      1010011101	101011	101011	0
38	      0101001101	010001	010001	0
39	      0001000110	000001	000001	0
40	      0100100101	010101	010101	0
41	      0110100110	011101	011101	0
42	      0101110100	010111	010111	0
43	      0111100100	011101	011101	0
44	      0110100001	011100	011100	0
45	      0111100101	011101	011101	0
46	      1101101101	110101	110101	0
47	      0100111110	010111	010111	0
48	      0011011000	001010	001010	0
49	      1011000011	101000	101000	0
50	      1100000000	110000	110000	0
51	      0010011000	001010	001010	0
52	      1011101001	101100	101100	0
53	      0010100101	001101	001101	0
54	      0101000000	010000	010000	0
55	      0011101011	001100	001100	0
56	      1001110001	100110	100110	0
57	      1000100010	100100	100100	0
58	      0010100010	001100	001100	0
59	      1100001011	110000	110000	0
60	      0100100011	010100	010100	0
61	      0000100001	000100	000100	0
62	      1011001100	101001	101001	0
63	      0010111111	001111	001111	0
64	      1100001110	110001	110001	0
65	      1111100010	111100	111100	0
66	      0011111001	001110	001110	0
67	      1011110000	101110	101110	0
68	      1010101000	101100	101100	0
69	      0111010100	011011	011011	0
70	      1010110101	101111	101111	0
71	      0100111011	010110	010110	0
