		Hypernetwork testing function

Reading organism data at epoch: 7866
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1000110101	100111	100111	0
2	      0101011001	010010	010010	0
3	      1100101111	110101	110101	0
4	      1000001011	100000	100000	0
5	      1010101111	101101	101101	0
6	      0011000010	001000	001000	0
7	      0111001111	011001	011001	0
8	      0011100110	001101	001101	0
9	      1010101001	101100	101100	0
10	      1000001100	100001	100001	0
11	      0111011011	011010	011010	0
12	      0010010011	001010	001010	0
13	      0111000111	011001	011001	0
14	      0001010001	000010	000010	0
15	      0100100110	010101	010101	0
16	      1001111011	100110	100110	0
17	      1000010111	100011	100011	0
18	      0101011100	010011	010011	0
19	      0010001100	001001	001001	0
20	      1100000000	110000	110000	0
21	      0111000000	011000	011000	0
22	      1000101101	100101	100101	0
23	      1110001101	111001	111001	0
24	      0000010100	000011	000011	0
25	      1101011100	110011	110011	0
26	      1101110011	110110	110110	0
27	      1101011111	110011	110011	0
28	      1100010101	110011	110011	0
29	      1100111111	110111	110111	0
30	      0000111100	000111	000111	0
31	      1001001001	100000	100000	0
32	      0001011010	000010	000010	0
33	      0010101101	001101	001101	0
34	      0011110111	001111	001111	0
35	      1100000101	110001	110001	0
36	      0110011010	011010	011010	0
37	      1110010111	111011	111011	0
38	      0101001010	010000	010000	0
39	      0110110100	011111	011111	0
40	      1110011111	111011	111011	0
41	      1101000101	110001	110001	0
42	      0000110001	000110	000110	0
43	      1011001000	101000	101000	0
44	      0010001001	001000	001000	0
45	      0110110011	011110	011110	0
46	      0010101010	001100	001100	0
47	      1000001001	100000	100000	0
48	      1010111100	101111	101111	0
49	      1011010110	101011	101011	0
50	      1111000111	111001	111001	0
51	      0010000011	001000	001000	0
52	      1000001000	100000	100000	0
53	      1101011110	110011	110011	0
54	      1111011010	111010	111010	0
55	      0110111000	011110	011110	0
56	      1000101010	100100	100100	0
57	      0001001000	000000	000000	0
58	      0110101011	011100	011100	0
59	      1101001111	110001	110001	0
60	      1100100100	110101	110101	0
61	      1100011101	110011	110011	0
62	      0011011010	001010	001010	0
63	      0100101010	010100	010100	0
64	      0110111100	011111	011111	0
65	      0000001111	000001	000001	0
66	      1101110001	110110	110110	0
67	      1110101110	111101	111101	0
68	      1010000110	101001	101001	0
69	      1001101011	100100	100100	0
70	      1101100011	110100	110100	0
71	      0011111101	001111	001111	0
