		Hypernetwork testing function

Reading organism data at epoch: 978
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1101111100	111	111	0
2	      1000110111	101	101	0
3	      0100011110	010	010	0
4	      0011100110	001	001	0
5	      1000000011	100	100	0
6	      1111100000	111	111	0
7	      0111101110	011	011	0
8	      1011110000	101	101	0
9	      0001010001	000	000	0
10	      0100100000	011	011	0
11	      1111000000	110	110	0
12	      0001100100	001	001	0
13	      0100111000	011	011	0
14	      0011101001	001	001	0
15	      0001000101	000	000	0
16	      1100111010	111	111	0
17	      1011011000	100	100	0
18	      1000011100	100	100	0
19	      0110110111	011	011	0
20	      0001101000	001	001	0
21	      1010101100	101	101	0
22	      0010111110	001	001	0
23	      0011000000	000	000	0
24	      1110101000	111	111	0
25	      1100111011	111	111	0
26	      0001111110	001	001	0
27	      1011100010	101	101	0
28	      1000011000	100	100	0
29	      0100111010	011	011	0
30	      1100111111	111	111	0
31	      0110000001	010	010	0
32	      1101010100	110	110	0
33	      0101000001	010	010	0
34	      1110101110	111	111	0
35	      0110100001	011	011	0
36	      1001010111	100	100	0
37	      0010010010	000	000	0
38	      1011011001	100	100	0
39	      1101110100	111	111	0
40	      1100001110	110	110	0
41	      0101100101	011	011	0
42	      1100000101	110	110	0
43	      0001110100	001	001	0
44	      0001000000	000	000	0
45	      0011001111	000	000	0
46	      1001111101	101	101	0
47	      0010001001	000	000	0
48	      0101101101	011	011	0
49	      0110000010	010	010	0
50	      1001100010	101	101	0
51	      1100101010	111	111	0
52	      0110001101	010	010	0
53	      0010111011	001	001	0
54	      1000000010	100	100	0
55	      1111111010	111	111	0
56	      0001111000	001	001	0
57	      0110100110	011	011	0
58	      0010000100	000	000	0
59	      0010011001	000	000	0
60	      1101110001	111	111	0
61	      0010001100	000	000	0
62	      1110100110	111	111	0
63	      0010001111	000	000	0
64	      1001000100	100	100	0
65	      0001010100	000	000	0
66	      1010111011	101	101	0
67	      1000001001	100	100	0
68	      0000111010	001	001	0
69	      1000011011	100	100	0
70	      1111011010	110	110	0
71	      1000001110	100	100	0
72	      1110011010	110	110	0
73	      0010000110	000	000	0
74	      0110101101	011	011	0
75	      1010110100	101	101	0
76	      0111101100	011	011	0
77	      0100010110	010	010	0
78	      1000111111	101	101	0
79	      0110101000	011	011	0
80	      1010010011	100	100	0
81	      1001110010	101	101	0
