		Hypernetwork testing function

Reading organism data at epoch: 6659
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0100100011	011	011	0
2	      0011101110	001	001	0
3	      1101011100	110	110	0
4	      0000001110	000	000	0
5	      1110001010	110	110	0
6	      0100110111	011	011	0
7	      1111111110	111	111	0
8	      0011001101	000	000	0
9	      0111011110	010	010	0
10	      0010100011	001	001	0
11	      1111001111	110	110	0
12	      1000111010	101	101	0
13	      0101100100	011	011	0
14	      0101011100	010	010	0
15	      0111011011	010	010	0
16	      0010010000	000	000	0
17	      1010110010	101	101	0
18	      0111100001	011	011	0
19	      1001000000	100	100	0
20	      0001001010	000	000	0
21	      1110110001	111	111	0
22	      1001000010	100	100	0
23	      0101000101	010	010	0
24	      0000101010	001	001	0
25	      0010010110	000	000	0
26	      0110111100	011	011	0
27	      1100011111	110	110	0
28	      1000100001	101	101	0
29	      0101011010	010	010	0
30	      1001111100	101	101	0
31	      0110110101	011	011	0
32	      1011001111	100	100	0
33	      0010111101	001	001	0
34	      0100000110	010	010	0
35	      1110101000	111	111	0
36	      0110001001	010	010	0
37	      0101010011	010	010	0
38	      0000100110	001	001	0
39	      0001011010	000	000	0
40	      1111100100	111	111	0
41	      0100101101	011	011	0
42	      0001011011	000	000	0
43	      0100001011	010	010	0
44	      1100000100	110	110	0
45	      0110110010	011	011	0
46	      1101001010	110	110	0
47	      0111110010	011	011	0
48	      1001100101	101	101	0
49	      1110111000	111	111	0
50	      1001110010	101	101	0
51	      0100001000	010	010	0
52	      1100110001	111	111	0
53	      1101000100	110	110	0
54	      0100111011	011	011	0
55	      1010011111	100	100	0
56	      1010101010	101	101	0
57	      0010110011	001	001	0
58	      0001001000	000	000	0
59	      0110010110	010	010	0
60	      1111101111	111	111	0
61	      1000101001	101	101	0
62	      1000000001	100	100	0
63	      0001100111	001	001	0
64	      1000111111	101	101	0
65	      0001110111	001	001	0
66	      0011001001	000	000	0
67	      0110100101	011	011	0
68	      1011101000	101	101	0
69	      0010000111	000	000	0
70	      1001110011	101	101	0
71	      0011011010	000	000	0
72	      0100001001	010	010	0
73	      0101101010	011	011	0
74	      1110001101	110	110	0
75	      0100101110	011	011	0
76	      1011010000	100	100	0
77	      1010110111	101	101	0
78	      0111001111	010	010	0
79	      0010010101	000	000	0
80	      1011110100	101	101	0
81	      0111110100	011	011	0
