		Hypernetwork testing function

Reading organism data at epoch: 2126
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0011001101	000	000	0
2	      1011111010	101	101	0
3	      0011000001	000	000	0
4	      0010010010	000	000	0
5	      1010110111	101	101	0
6	      0111111010	011	011	0
7	      1000001001	100	100	0
8	      1110101110	111	111	0
9	      1101111010	111	111	0
10	      0011000111	000	000	0
11	      0110110101	011	011	0
12	      1100011001	110	110	0
13	      1100110001	111	111	0
14	      1011101100	101	101	0
15	      1101100001	111	111	0
16	      1100111001	111	111	0
17	      0011101101	001	001	0
18	      0101110000	011	011	0
19	      0010101101	001	001	0
20	      0110000101	010	010	0
21	      0101001010	010	010	0
22	      0100010001	010	010	0
23	      1001111011	101	101	0
24	      1101111100	111	111	0
25	      1101001110	110	110	0
26	      0010110100	001	001	0
27	      0110011100	010	010	0
28	      0000101111	001	001	0
29	      1100010111	110	110	0
30	      1001110101	101	101	0
31	      1101011110	110	110	0
32	      0100000110	010	010	0
33	      0000100101	001	001	0
34	      0110110111	011	011	0
35	      0011010101	000	000	0
36	      1101111110	111	111	0
37	      0101010110	010	010	0
38	      0000110110	001	001	0
39	      1010111110	101	101	0
40	      0001000111	000	000	0
41	      1010101011	101	101	0
42	      1101011000	110	110	0
43	      1111000101	110	110	0
44	      1011011100	100	100	0
45	      1111111001	111	111	0
46	      0111110000	011	011	0
47	      1100101100	111	111	0
48	      0001111010	001	001	0
49	      0101100010	011	011	0
50	      1001001100	100	100	0
51	      0101100011	011	011	0
52	      0000011011	000	000	0
53	      0110011110	010	010	0
54	      1011010000	100	100	0
55	      0111101101	011	011	0
56	      0010011100	000	000	0
57	      0110001111	010	010	0
58	      0111011000	010	010	0
59	      0011110011	001	001	0
60	      0100100101	011	011	0
61	      0101000110	010	010	0
62	      1000000001	100	100	0
63	      0001011101	000	000	0
64	      0000101010	001	001	0
65	      0011101111	001	001	0
66	      0111111001	011	011	0
67	      0000000111	000	000	0
68	      1000100100	101	101	0
69	      0110010111	010	010	0
70	      0111000011	010	010	0
71	      1100100100	111	111	0
72	      0100011000	010	010	0
73	      1111110010	111	111	0
74	      1100101011	111	111	0
75	      1101010110	110	110	0
76	      0000101011	001	001	0
77	      0000000101	000	000	0
78	      0100100000	011	011	0
79	      1010100101	101	101	0
80	      1101011001	110	110	0
81	      1111011110	110	110	0
