		Hypernetwork testing function

Reading organism data at epoch: 683
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0110000010	010	010	0
2	      1111000010	110	110	0
3	      1100101111	111	111	0
4	      1111111111	111	111	0
5	      1010101110	101	101	0
6	      0001000111	000	000	0
7	      1110000110	110	110	0
8	      0000011101	000	000	0
9	      0101010011	010	010	0
10	      0011101100	001	001	0
11	      0000010101	000	000	0
12	      1101000000	110	110	0
13	      1110100000	111	111	0
14	      1100011011	110	110	0
15	      1110000010	110	110	0
16	      1000011011	100	100	0
17	      1011110000	101	101	0
18	      0011101011	001	001	0
19	      0011010000	000	000	0
20	      1001000000	100	100	0
21	      1000110101	101	101	0
22	      0101101111	011	011	0
23	      0110001101	010	010	0
24	      1011010110	100	100	0
25	      0110101100	011	011	0
26	      1001110010	101	101	0
27	      0101100100	011	011	0
28	      1101001001	110	110	0
29	      1010001011	100	100	0
30	      0011100100	001	001	0
31	      1011011111	100	100	0
32	      0101111001	011	011	0
33	      0100010001	010	010	0
34	      0101111010	011	011	0
35	      1000111011	101	101	0
36	      1110111101	111	111	0
37	      0010001100	000	000	0
38	      1100011000	110	110	0
39	      1000011101	100	100	0
40	      0001111101	001	001	0
41	      1001111100	101	101	0
42	      1001000011	100	100	0
43	      0011000111	000	000	0
44	      0110001100	010	010	0
45	      1111110011	111	111	0
46	      0100101000	011	011	0
47	      1110110011	111	111	0
48	      0101101011	011	011	0
49	      0111001101	010	010	0
50	      1100111010	111	111	0
51	      1110010010	110	110	0
52	      1011100111	101	101	0
53	      1010100001	101	101	0
54	      1000100010	101	101	0
55	      1011110101	101	101	0
56	      1011001100	100	100	0
57	      0001111000	001	001	0
58	      1000011001	100	100	0
59	      0010101000	001	001	0
60	      0001110000	001	001	0
61	      0101000001	010	010	0
62	      0000100110	001	001	0
63	      0101100101	011	011	0
64	      1011111110	101	101	0
65	      1111001100	110	110	0
66	      1100001001	110	110	0
67	      0110010001	010	010	0
68	      1111101011	111	111	0
69	      0100110100	011	011	0
70	      1011000010	100	100	0
71	      0001000100	000	000	0
72	      0101100001	011	011	0
73	      1001001111	100	100	0
74	      0000111100	001	001	0
75	      1011111100	101	101	0
76	      1000010110	100	100	0
77	      1000101011	101	101	0
78	      0000010011	000	000	0
79	      1011010111	100	100	0
80	      0110111000	011	011	0
81	      0100111111	011	011	0
