		Hypernetwork testing function

Reading organism data at epoch: 15459
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1111000000	111000	111000	0
2	      0100101000	010100	010100	0
3	      1000110010	100110	100110	0
4	      0100101011	010100	010100	0
5	      1000101111	100101	100101	0
6	      0011010000	001010	001010	0
7	      1110010110	111011	111011	0
8	      0001001011	000000	000000	0
9	      1001101000	100100	100100	0
10	      0101011100	010011	010011	0
11	      1100011101	110011	110011	0
12	      1011000111	101001	101001	0
13	      1001010011	100010	100010	0
14	      0100010001	010010	010010	0
15	      1010001101	101001	101001	0
16	      0100101001	010100	010100	0
17	      1111110000	111110	111110	0
18	      0011001000	001000	001000	0
19	      1011001101	101001	101001	0
20	      1110100010	111100	111100	0
21	      1110111111	111111	111111	0
22	      0001001001	000000	000000	0
23	      1000111110	100111	100111	0
24	      0010000000	001000	001000	0
25	      1000110001	100110	100110	0
26	      0000010010	000010	000010	0
27	      0000000010	000000	000000	0
28	      1011001100	101001	101001	0
29	      0101010000	010010	010010	0
30	      0101001110	010001	010001	0
31	      1110000100	111001	111001	0
32	      1011010101	101011	101011	0
33	      1011011111	101011	101011	0
34	      0111110111	011111	011111	0
35	      1110000111	111001	111001	0
36	      0110011100	011011	011011	0
37	      0110000000	011000	011000	0
38	      0101001111	010001	010001	0
39	      0100010110	010011	010011	0
40	      0011101000	001100	001100	0
41	      1010011111	101011	101011	0
42	      1010101001	101100	101100	0
43	      0110000111	011001	011001	0
44	      1011001000	101000	101000	0
45	      1110100011	111100	111100	0
46	      0000100011	000100	000100	0
47	      1001100101	100101	100101	0
48	      0110111001	011110	011110	0
49	      0000101111	000101	000101	0
50	      0000100100	000101	000101	0
51	      1010000011	101000	101000	0
52	      0000111000	000110	000110	0
53	      1001111110	100111	100111	0
54	      0111111000	011110	011110	0
55	      1101101001	110100	110100	0
56	      0011001100	001001	001001	0
57	      1001101010	100100	100100	0
58	      0101110010	010110	010110	0
59	      0010011001	001010	001010	0
60	      0110001010	011000	011000	0
61	      1000101110	100101	100101	0
62	      0011101101	001101	001101	0
63	      0101011000	010010	010010	0
64	      0001111000	000110	000110	0
65	      0100011111	010011	010011	0
66	      0010110111	001111	001111	0
67	      1110011101	111011	111011	0
68	      1111110001	111110	111110	0
69	      0101001100	010001	010001	0
70	      1111111101	111111	111111	0
71	      1110011111	111011	111011	0
