		Hypernetwork testing function

Reading organism data at epoch: 6467
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0011101110	001	001	0
2	      0010001111	000	000	0
3	      1011101100	101	101	0
4	      0111011011	010	010	0
5	      0011100000	001	001	0
6	      0001110110	001	001	0
7	      0111011001	010	010	0
8	      0011001100	000	000	0
9	      1101100011	111	111	0
10	      1110001010	110	110	0
11	      1001011100	100	100	0
12	      0000111101	001	001	0
13	      0010110111	001	001	0
14	      0000101101	001	001	0
15	      1001001100	100	100	0
16	      1101000111	110	110	0
17	      1110101000	111	111	0
18	      1011111000	101	101	0
19	      0100100001	011	011	0
20	      1011101101	101	101	0
21	      1011001011	100	100	0
22	      1010011011	100	100	0
23	      1010001101	100	100	0
24	      1010110111	101	101	0
25	      0010111000	001	001	0
26	      0001101110	001	001	0
27	      1011110000	101	101	0
28	      0100000111	010	010	0
29	      0110111010	011	011	0
30	      0010001101	000	000	0
31	      0011001110	000	000	0
32	      1000011011	100	100	0
33	      0101011000	010	010	0
34	      0000001001	000	000	0
35	      1101101010	111	111	0
36	      1010111011	101	101	0
37	      1000101110	101	101	0
38	      0010010101	000	000	0
39	      1110110101	111	111	0
40	      1011100010	101	101	0
41	      1110110011	111	111	0
42	      0011100011	001	001	0
43	      1011011111	100	100	0
44	      1101100001	111	111	0
45	      1011000011	100	100	0
46	      0101101011	011	011	0
47	      0010001100	000	000	0
48	      1110001101	110	110	0
49	      0010010011	000	000	0
50	      1110000111	110	110	0
51	      0011000010	000	000	0
52	      1000100000	101	101	0
53	      1011100000	101	101	0
54	      1101010010	110	110	0
55	      1000110111	101	101	0
56	      1000100110	101	101	0
57	      0000111111	001	001	0
58	      1101111001	111	111	0
59	      0111111000	011	011	0
60	      0010100111	001	001	0
61	      0000100100	001	001	0
62	      0101011010	010	010	0
63	      1111010101	110	110	0
64	      1000111011	101	101	0
65	      1001100011	101	101	0
66	      1100000001	110	110	0
67	      1111110110	111	111	0
68	      0101010010	010	010	0
69	      1010101110	101	101	0
70	      1111000111	110	110	0
71	      1101110000	111	111	0
72	      1100000110	110	110	0
73	      1000001001	100	100	0
74	      1101000110	110	110	0
75	      1010011111	100	100	0
76	      0100010110	010	010	0
77	      1011011110	100	100	0
78	      0000000100	000	000	0
79	      0111110011	011	011	0
80	      1101000100	110	110	0
81	      0001010101	000	000	0
