		Hypernetwork testing function

Reading organism data at epoch: 10564
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0100111111	010111	010111	0
2	      1110010111	111011	111011	0
3	      0011100110	001101	001101	0
4	      0101010100	010011	010011	0
5	      1010001111	101001	101001	0
6	      1110110001	111110	111110	0
7	      1101111110	110111	110111	0
8	      0101110101	010111	010111	0
9	      0110100000	011100	011100	0
10	      1011110001	101110	101110	0
11	      0101000010	010000	010000	0
12	      1110111000	111110	111110	0
13	      0000111110	000111	000111	0
14	      0100101100	010101	010101	0
15	      0001100111	000101	000101	0
16	      0010111000	001110	001110	0
17	      1011010111	101011	101011	0
18	      0100001000	010000	010000	0
19	      0001110000	000110	000110	0
20	      0100011000	010010	010010	0
21	      1101110010	110110	110110	0
22	      1101000000	110000	110000	0
23	      0001100110	000101	000101	0
24	      1000000111	100001	100001	0
25	      1001001001	100000	100000	0
26	      0101011010	010010	010010	0
27	      1111010000	111010	111010	0
28	      1001010010	100010	100010	0
29	      0010011100	001011	001011	0
30	      0100001111	010001	010001	0
31	      1011011100	101011	101011	0
32	      1001101100	100101	100101	0
33	      0110100011	011100	011100	0
34	      1010000001	101000	101000	0
35	      0101101101	010101	010101	0
36	      0001000100	000001	000001	0
37	      1110010011	111010	111010	0
38	      1001110101	100111	100111	0
39	      1011100101	101101	101101	0
40	      1000010100	100011	100011	0
41	      0010110100	001111	001111	0
42	      1001001010	100000	100000	0
43	      1011101000	101100	101100	0
44	      0011010010	001010	001010	0
45	      1100101011	110100	110100	0
46	      1101001111	110001	110001	0
47	      0011000010	001000	001000	0
48	      1100100011	110100	110100	0
49	      1110010110	111011	111011	0
50	      1011001101	101001	101001	0
51	      0100100110	010101	010101	0
52	      0001001000	000000	000000	0
53	      1001011100	100011	100011	0
54	      1011010011	101010	101010	0
55	      0011110000	001110	001110	0
56	      1100111101	110111	110111	0
57	      1000011000	100010	100010	0
58	      1101001110	110001	110001	0
59	      1010111101	101111	101111	0
60	      0010100000	001100	001100	0
61	      0011011100	001011	001011	0
62	      1101100011	110100	110100	0
63	      0011111101	001111	001111	0
64	      1001000001	100000	100000	0
65	      1110100110	111101	111101	0
66	      1011110101	101111	101111	0
67	      1110011111	111011	111011	0
68	      1110111010	111110	111110	0
69	      1000010110	100011	100011	0
70	      0111010000	011010	011010	0
71	      1110101001	111100	111100	0
