		Hypernetwork testing function

Reading organism data at epoch: 4891
Training performance registered at file: 1
Training performance evaluated: 1
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      1111010111	110	110	0
2	      0011011101	000	000	0
3	      1001011011	100	100	0
4	      0011101001	001	001	0
5	      1100101010	111	111	0
6	      1011101101	101	101	0
7	      0001010100	000	000	0
8	      0100111010	011	011	0
9	      0100010000	010	010	0
10	      0111001110	010	010	0
11	      0111000100	010	010	0
12	      0111111110	011	011	0
13	      0110010110	010	010	0
14	      0011110001	001	001	0
15	      0000010101	000	000	0
16	      1010101101	101	101	0
17	      0000000110	000	000	0
18	      0010100100	001	001	0
19	      1001010110	100	100	0
20	      0010000001	000	000	0
21	      0000000001	000	000	0
22	      1001000010	100	100	0
23	      1100011000	110	110	0
24	      1001111010	101	101	0
25	      1001100111	101	101	0
26	      0100100101	011	011	0
27	      1100110101	111	111	0
28	      0110001100	010	010	0
29	      0101101111	011	011	0
30	      1011100110	101	101	0
31	      0010011100	000	000	0
32	      0001100010	001	001	0
33	      1011111000	101	101	0
34	      1100010011	110	110	0
35	      1111111100	111	111	0
36	      1110110011	111	111	0
37	      0010000000	000	000	0
38	      1001010111	100	100	0
39	      0100001111	010	010	0
40	      0110101011	011	011	0
41	      1111111010	111	111	0
42	      0010111110	001	001	0
43	      0101100000	011	011	0
44	      0100100111	011	011	0
45	      1010101001	101	101	0
46	      1011011101	100	100	0
47	      0001010110	000	000	0
48	      0101000111	010	010	0
49	      1001110001	101	101	0
50	      1110111001	111	111	0
51	      0000010110	000	000	0
52	      1001001111	100	100	0
53	      0011010011	000	000	0
54	      1101111110	111	111	0
55	      0101110010	011	011	0
56	      0000111011	001	001	0
57	      1000000001	100	100	0
58	      1011111111	101	101	0
59	      1100111100	111	111	0
60	      0011010000	000	000	0
61	      1010101011	101	101	0
62	      0010001010	000	000	0
63	      1001011110	100	100	0
64	      1010110101	101	101	0
65	      1011011111	100	100	0
66	      0110011111	010	010	0
67	      1111101101	111	111	0
68	      0000101001	001	001	0
69	      1111011111	110	110	0
70	      0010111111	001	001	0
71	      1101101011	111	111	0
72	      0001111011	001	001	0
73	      0001101010	001	001	0
74	      1101100111	111	111	0
75	      1111111111	111	111	0
76	      0111100110	011	011	0
77	      0011000001	000	000	0
78	      0101110001	011	011	0
79	      1101101001	111	111	0
80	      0010101110	001	001	0
81	      1000010001	100	100	0
