		Hypernetwork testing function

Reading organism data at epoch: 30000
Training performance registered at file: 0.913715
Training performance evaluated: 0.913715
Vector	           Input	Desired	Output 	Error
No.   	          Vector	Vector 	Vector 	     
------	          ------	-------	-------	--------
1	      0000001111	000001	010001	1
2	      1110100100	111101	111101	0
3	      0101111001	010110	010111	1
4	      0000100111	000101	000101	0
5	      1100001000	110000	110001	1
6	      1010111110	101111	101110	1
7	      0101010000	010010	010011	1
8	      1101100101	110101	110101	0
9	      0110110000	011110	011111	1
10	      1101000110	110001	110001	0
11	      1101011111	110011	110011	0
12	      0101100101	010101	010101	0
13	      0101100010	010100	010101	1
14	      1101110000	110110	110111	1
15	      0011110011	001110	001110	0
16	      0011010111	001011	001010	1
17	      0111110010	011110	011111	1
18	      0111001000	011000	011001	1
19	      0110111001	011110	011111	1
20	      1000111010	100110	100110	0
21	      1111001110	111001	111001	0
22	      0110110100	011111	011111	0
23	      1110101101	111101	111101	0
24	      1110100110	111101	111101	0
25	      0100010110	010011	010011	0
26	      0001111001	000110	000110	0
27	      1111101100	111101	111101	0
28	      0100000000	010000	010001	1
29	      1100101001	110100	110101	1
30	      1011101100	101101	101101	0
31	      1101111000	110110	110111	1
32	      0001011001	000010	000010	0
33	      0001110010	000110	000110	0
34	      0001011101	000011	000010	1
35	      1011000011	101000	101000	0
36	      1011000000	101000	101000	0
37	      0001010001	000010	000010	0
38	      1000000001	100000	100000	0
39	      0010110100	001111	001110	1
40	      0010000010	001000	011001	1
41	      1000010110	100011	100010	1
42	      1000101000	100100	100101	1
43	      1011011110	101011	101010	1
44	      1111010101	111011	111011	0
45	      1000011010	100010	100010	0
46	      0110111110	011111	011111	0
47	      0000000100	000001	010001	1
48	      1011110011	101110	101110	0
49	      1000100000	100100	100101	1
50	      0100001101	010001	010001	0
51	      0001100011	000100	000101	1
52	      1011111010	101110	101110	0
53	      1001010011	100010	100010	0
54	      0010100100	001101	001101	0
55	      1001101011	100100	100101	1
56	      1001111011	100110	100110	0
57	      0111110101	011111	011111	0
58	      0010001111	001001	011001	1
59	      1110100101	111101	111101	0
60	      1111000000	111000	111001	1
61	      1001100110	100101	100101	0
62	      1010010101	101011	101010	1
63	      0011101000	001100	001101	1
64	      0101010100	010011	010011	0
65	      0100110110	010111	010111	0
66	      1100001011	110000	110001	1
67	      0100011110	010011	010011	0
68	      1001000010	100000	100000	0
69	      0011010100	001011	001010	1
70	      1110010110	111011	111011	0
